OrderID,Date,Region,Product,SalesRep,UnitsSold,UnitPrice,TotalSale
1000,2025-02-27,South,Widget C,A. Khan,15.0,32.21,483.15
1001,2025-02-22,South,Widget B,J. Smith,38.0,87.27,3316.26
1002,2025-01-16,South,Widget B,J. Smith,39.0,10.17,396.63
1003,2025-04-12,South,Widget B,R. Patel,15.0,92.6,1389.0
1004,2025-05-23,East,Widget B,R. Patel,22.0,59.18,1301.96
1005,2025-04-21,North,Widget A,R. Patel,7.0,75.0,525.0
1006,2025-06-26,East,Widget A,R. Patel,35.0,29.34,1026.9
1007,2025-07-13,North,Widget C,J. Smith,24.0,117.58,2821.92
1008,2025-02-05,South,Widget B,M. Chen,6.0,171.79,1030.74
1009,2025-02-21,East,Widget A,M. Chen,26.0,77.19,2006.94
1010,2025-04-18,East,Widget A,J. Smith,41.0,38.37,1573.17
1011,2025-05-06,West,Widget A,M. Chen,41.0,139.19,5706.79
1012,2025-04-23,East,Widget A,A. Khan,3.0,161.98,485.94
1013,2025-07-25,North,Widget B,J. Smith,46.0,66.36,3052.56
1014,2025-09-13,South,Widget A,A. Khan,17.0,32.23,547.91
1015,2025-10-15,East,Widget B,R. Patel,38.0,82.88,3149.44
1016,2025-04-23,North,Widget A,J. Smith,49.0,14.19,695.31
1017,2025-02-26,South,Widget B,R. Patel,39.0,17.39,678.21
1018,2025-07-15,West,Widget B,M. Chen,36.0,172.85,6222.6
1019,2025-01-06,South,Widget A,J. Smith,49.0,57.03,2794.47
1020,2025-06-24,East,Widget A,A. Khan,30.0,5.63,168.9
1021,2025-05-15,East,Widget B,J. Smith,7.0,174.75,1223.25
1022,2025-06-02,North,Widget B,A. Khan,10.0,77.91,779.1
1023,2025-03-24,East,Widget B,J. Smith,39.0,68.21,2660.19
1024,2025-01-10,East,Widget C,A. Khan,4.0,51.97,207.88
1025,2025-10-18,North,Widget A,J. Smith,49.0,108.88,5335.12
1026,2025-03-06,South,Widget A,J. Smith,11.0,56.69,623.59
1027,2025-08-05,North,Widget B,M. Chen,26.0,199.05,5175.3
1028,2025-11-07,North,Widget A,J. Smith,16.0,48.82,781.12
1029,2025-06-23,North,Widget B,A. Khan,38.0,47.94,1821.72
1030,2025-02-06,South,Widget A,A. Khan,26.0,181.56,4720.56
1031,2025-06-19,North,Widget B,M. Chen,43.0,99.66,4285.38
1032,2025-10-04,South,Widget B,J. Smith,31.0,52.38,1623.78
1033,2025-08-31,South,Widget A,J. Smith,43.0,89.05,3829.15
1034,2025-05-08,West,Widget A,J. Smith,4.0,83.51,334.04
1035,2025-06-23,South,Widget B,A. Khan,35.0,92.48,3236.8
1036,2025-08-05,East,Widget A,A. Khan,5.0,91.41,457.05
1037,2025-10-09,North,Widget B,J. Smith,6.0,185.64,1113.84
1038,2025-05-02,West,Widget A,R. Patel,14.0,173.61,2430.54
1039,2025-01-31,West,Widget A,R. Patel,17.0,185.67,3156.39
1040,2025-08-21,West,Widget B,R. Patel,10.0,42.03,420.3
1041,2025-04-22,North,Widget B,J. Smith,48.0,66.15,3175.2
1042,2025-01-26,West,Widget B,J. Smith,11.0,16.09,176.99
1043,2025-09-18,East,Widget B,J. Smith,39.0,18.25,711.75
1044,2025-01-05,North,Widget B,A. Khan,38.0,120.93,4595.34
1045,2025-11-02,South,Widget B,J. Smith,34.0,66.69,2267.46
1046,2025-05-14,South,Widget C,A. Khan,17.0,82.18,1397.06
1047,2025-03-06,North,Widget A,J. Smith,30.0,126.13,3783.9
1048,2025-10-16,North,Widget B,A. Khan,33.0,56.71,1871.43
1049,2025-06-28,South,Widget C,M. Chen,11.0,90.45,994.95
1050,2025-10-06,East,Widget B,J. Smith,1.0,135.23,135.23
1051,2025-11-10,South,Widget A,A. Khan,17.0,27.51,467.67
1052,2025-02-24,North,Widget B,M. Chen,19.0,122.94,2335.86
1053,2025-06-25,South,Widget C,J. Smith,32.0,53.97,1727.04
1054,2025-01-27,South,Widget A,M. Chen,3.0,5.69,17.07
1055,2025-03-08,East,Widget B,R. Patel,26.0,142.61,3707.86
1056,2025-10-15,North,Widget A,J. Smith,35.0,12.03,421.05
1057,2025-07-09,North,Widget B,R. Patel,9.0,13.16,118.44
1058,2025-07-06,East,Widget B,A. Khan,43.0,25.04,1076.72
1059,2025-10-14,North,Widget B,A. Khan,11.0,195.36,2148.96
1060,2025-01-04,North,Widget B,M. Chen,27.0,161.44,4358.88
1061,2025-08-05,South,Widget A,R. Patel,3.0,172.43,517.29
1062,2025-04-24,East,Widget A,M. Chen,20.0,165.0,3300.0
1063,2025-04-27,North,Widget B,R. Patel,22.0,59.33,1305.26
1064,2025-05-02,East,Widget B,R. Patel,44.0,196.32,8638.08
1065,2025-02-10,North,Widget A,M. Chen,12.0,118.21,1418.52
1066,2025-05-16,North,Widget B,R. Patel,23.0,95.50999999999999,2196.73
1067,2025-10-06,North,Widget B,J. Smith,25.0,95.50999999999999,2387.75
1068,2025-08-04,North,Widget A,J. Smith,26.0,185.49,4822.74
1069,2025-10-03,South,Widget B,M. Chen,28.0,18.64,521.92
1070,2025-06-19,East,Widget A,M. Chen,33.0,65.31,2155.23
1071,2025-07-29,West,Widget C,J. Smith,9.0,42.41,381.69
1072,2025-07-14,South,Widget B,J. Smith,37.0,63.69,2356.53
1073,2025-10-08,East,Widget C,A. Khan,26.0,158.22,4113.72
1074,2025-06-14,West,Widget A,A. Khan,33.0,97.27,3209.91
1075,2025-03-28,North,Widget C,J. Smith,43.0,128.42,5522.06
1076,2025-06-21,North,Widget B,M. Chen,15.0,95.50999999999999,1432.65
1077,2025-03-17,North,Widget B,R. Patel,40.0,170.7,6828.0
1078,2025-07-02,North,Widget B,A. Khan,46.0,140.79,6476.34
1079,2025-11-09,South,Widget B,J. Smith,49.0,172.79,8466.71
1080,2025-02-24,South,Widget B,J. Smith,30.0,14.79,443.7
1081,2025-05-08,West,Widget B,R. Patel,43.0,108.57,4668.51
1082,2025-10-14,East,Widget A,J. Smith,47.0,178.94,8410.18
1083,2025-08-07,West,Widget B,R. Patel,29.0,55.54,1610.66
1084,2025-05-07,East,Widget B,R. Patel,26.0,51.65,1342.9
1085,2025-08-14,South,Widget C,A. Khan,18.0,70.49,1268.82
1086,2025-10-04,South,Widget B,A. Khan,25.0,140.32,3508.0
1087,2025-04-20,West,Widget A,M. Chen,35.0,95.86,3355.1
1088,2025-02-01,East,Widget A,R. Patel,50.0,118.9,5945.0
1089,2025-01-11,West,Widget A,J. Smith,23.0,63.23,1454.29
1090,2025-07-19,North,Widget B,J. Smith,15.0,100.2,1503.0
1091,2025-05-20,West,Widget A,R. Patel,22.0,135.43,2979.46
1092,2025-07-27,South,Widget A,A. Khan,40.0,109.15,4366.0
1093,2025-07-21,North,Widget A,J. Smith,42.0,88.58,3720.36
1094,2025-08-25,North,Widget C,R. Patel,21.0,46.27,971.67
1095,2025-06-17,East,Widget A,M. Chen,49.0,190.48,9333.52
1096,2025-04-08,East,Widget A,R. Patel,2.0,151.06,302.12
1097,2025-01-27,South,Widget A,J. Smith,49.0,11.05,541.45
1098,2025-05-07,East,Widget A,J. Smith,10.0,51.52,515.2
1099,2025-08-31,North,Widget B,A. Khan,30.0,141.4,4242.0
1100,2025-07-08,North,Widget B,J. Smith,50.0,164.76,8238.0
1101,2025-06-09,North,Widget A,M. Chen,37.0,137.08,5071.96
1102,2025-12-07,South,Widget B,J. Smith,38.0,139.67,5307.46
1103,2025-05-05,South,Widget C,J. Smith,8.0,160.26,1282.08
1104,2025-10-17,East,Widget B,R. Patel,26.0,77.26,2008.76
1105,2025-09-17,East,Widget A,R. Patel,32.0,25.58,818.56
1106,2025-07-05,East,Widget A,A. Khan,28.0,39.35,1101.8
1107,2025-09-25,East,Widget B,J. Smith,50.0,99.28,4964.0
1108,2025-08-12,North,Widget C,M. Chen,16.0,166.99,2671.84
1109,2025-02-14,West,Widget B,R. Patel,37.0,124.01,4588.37
1110,2025-07-14,North,Widget A,M. Chen,12.0,100.07,1200.84
1111,2025-01-07,East,Widget C,J. Smith,45.0,176.62,7947.9
1112,2025-10-12,North,Widget B,J. Smith,16.0,145.41,2326.56
1113,2025-09-08,East,Widget B,R. Patel,42.0,143.81,6040.02
1114,2025-08-18,North,Widget C,A. Khan,26.0,139.9,3637.4
1115,2025-06-06,North,Widget C,R. Patel,36.0,108.53,3907.08
1116,2025-08-06,North,Widget C,M. Chen,45.0,93.48,4206.6
1117,2025-06-06,South,Widget A,A. Khan,21.0,28.31,594.51
1118,2025-10-02,South,Widget B,A. Khan,48.0,99.42,4772.16
1119,2025-09-26,East,Widget A,A. Khan,19.0,49.36,937.84
1120,2025-02-04,North,Widget B,A. Khan,18.0,13.88,249.84
1121,2025-01-28,East,Widget B,R. Patel,7.0,175.18,1226.26
1122,2025-10-21,West,Widget A,R. Patel,22.0,40.95,900.9
1123,2025-01-27,East,Widget A,J. Smith,5.0,95.50999999999999,477.55
1124,2025-02-07,South,Widget A,A. Khan,26.0,163.17,4242.42
1125,2025-06-05,South,Widget A,J. Smith,49.0,86.15,4221.35
1126,2025-04-26,West,Widget A,R. Patel,20.0,172.73,3454.6
1127,2025-08-08,North,Widget B,J. Smith,40.0,192.22,7688.8
1128,2025-02-20,South,Widget B,M. Chen,43.0,20.83,895.69
1129,2025-05-03,North,Widget A,A. Khan,1.0,84.66,84.66
1130,2025-08-29,North,Widget B,M. Chen,46.0,60.13,2765.98
1131,2025-08-21,South,Widget B,M. Chen,41.0,120.01,4920.41
1132,2025-12-04,North,Widget B,A. Khan,42.0,34.05,1430.1
1133,2025-05-17,North,Widget A,A. Khan,20.0,121.03,2420.6
1134,2025-10-19,West,Widget A,R. Patel,45.0,64.3,2893.5
1135,2025-07-26,North,Widget B,R. Patel,29.0,20.69,600.01
1136,2025-01-21,South,Widget C,J. Smith,17.0,10.04,170.68
1137,2025-04-28,East,Widget B,J. Smith,2.0,199.92,399.84
1138,2025-05-18,North,Widget B,R. Patel,34.0,132.04,4489.36
