OrderID,Date,Region,Product,SalesRep,UnitsSold,UnitPrice
1000,2025-02-27,SOUTH,Widget C,A. Khan,15.0,32.21
1001,02-22-2025,SOUTH,Widget  B,J. Smith,38.0,87.27
1002,2025-01-16,South,Widget B,j. smith,39.0,10.17
1003,04-12-2025,SOUTH,Widget  B,R. Patel,15.0,92.6
1004,2025-05-23, East ,Widget B,R. Patel,22.0,59.18
1005,21/04/2025,North,Widget A,R. Patel,7.0,75.0
1006,06-26-2025,East,Widget A,R. Patel,35.0,29.34
1007,2025-07-13,north,Widget C,j. smith,24.0,117.58
1008,2025-02-05,SOUTH,Widget B,M. Chen,6.0,171.79
1009,21/02/2025,East,widget a,M. Chen,,77.19
1010,04-18-2025,East,Widget A,j. smith,41.0,38.37
1011,2025-05-06,West,widget a,M. Chen,41.0,139.19
1012,04-23-2025,East,Widget A,A. Khan,3.0,161.98
1013,25/07/2025,North,Widget B,j. smith,46.0,66.36
1014,13/09/2025,SOUTH,widget a,A. Khan,17.0,32.23
1015,10-15-2025,East,Widget  B,R. Patel,38.0,82.88
1016,2025-04-23,north,widget a,J. Smith,49.0,14.19
1017,2025-02-26,SOUTH,Widget B,R. Patel,39.0,17.39
1018,07-15-2025,West,Widget  B,M. Chen,36.0,172.85
1019,01-06-2025,SOUTH,Widget A,j. smith,49.0,57.03
1020,2025-06-24,East,widget a,A. Khan,30.0,5.63
1021,05-15-2025, East ,Widget B,j. smith,7.0,174.75
1022,06-02-2025,north,Widget  B,A. Khan,10.0,77.91
1023,03-24-2025, East ,Widget  B,J. Smith,39.0,68.21
1024,2025-01-10,East,Widget C,A. Khan,4.0,51.97
1025,2025-10-18,North,widget a,J. Smith,49.0,108.88
1026,2025-03-06,SOUTH,widget a,j. smith,11.0,56.69
1027,2025-08-05,,Widget B,M. Chen,26.0,199.05
1028,11/07/2025,north,widget a,J. Smith,16.0,48.82
1029,2025-06-23,north,Widget  B,A. Khan,38.0,47.94
1030,02-06-2025,SOUTH,Widget A,A. Khan,,181.56
1031,2025-06-19,north,Widget B,M. Chen,43.0,99.66
1032,2025-10-04,SOUTH,Widget  B,j. smith,31.0,52.38
1033,31/08/2025,South,Widget A,J. Smith,43.0,89.05
1034,05/08/2025,West,Widget A,J. Smith,4.0,83.51
1035,2025-06-23,South,Widget B,A. Khan,35.0,92.48
1036,2025-08-05,East,widget a,A. Khan,5.0,91.41
1037,2025-10-09,North,Widget  B,J. Smith,6.0,185.64
1038,2025-05-02,West,widget a,R. Patel,14.0,173.61
1039,2025-01-31,West,Widget A,R. Patel,17.0,185.67
1040,21/08/2025,West,Widget  B,R. Patel,10.0,42.03
1041,2025-04-22,north,Widget  B,J. Smith,48.0,66.15
1042,01-26-2025,West,Widget  B,,11.0,16.09
1043,2025-09-18, East ,Widget B,J. Smith,39.0,18.25
1044,01/05/2025,North,Widget  B,A. Khan,38.0,120.93
1045,11/02/2025,SOUTH,Widget  B,j. smith,34.0,66.69
1046,2025-05-14,SOUTH,Widget C,A. Khan,17.0,82.18
1047,03/06/2025,,Widget A,,30.0,126.13
1048,2025-10-16,North,Widget  B,A. Khan,33.0,56.71
1049,2025-06-28,South,Widget C,M. Chen,11.0,90.45
1050,10-06-2025,East,Widget  B,j. smith,1.0,135.23
1051,11/10/2025,SOUTH,Widget A,A. Khan,17.0,27.51
1052,02-24-2025,north,Widget B,M. Chen,19.0,122.94
1053,2025-06-25,SOUTH,Widget C,j. smith,32.0,53.97
1054,2025-01-27,SOUTH,widget a,M. Chen,3.0,5.69
1055,03-08-2025,East,Widget B,R. Patel,-36.0,142.61
1056,2025-10-15,North,Widget A,,35.0,12.03
1057,07-09-2025,north,Widget B,R. Patel,9.0,13.16
1058,2025-07-06,East,Widget B,A. Khan,43.0,25.04
1059,14/10/2025,north,Widget B,A. Khan,11.0,195.36
1060,01/04/2025,North,Widget B,M. Chen,27.0,161.44
1061,08/05/2025,South,Widget A,R. Patel,3.0,172.43
1062,2025-04-24, East ,widget a,M. Chen,20.0,165.0
1063,2025-04-27,North,Widget B,R. Patel,22.0,59.33
1064,05/02/2025,East,Widget  B,R. Patel,44.0,196.32
1065,02/10/2025,North,Widget A,M. Chen,12.0,118.21
1066,2025-05-16,North,Widget  B,R. Patel,23.0,
1067,10/06/2025,north,Widget  B,J. Smith,25.0,
1068,08/04/2025,North,widget a,J. Smith,,185.49
1069,10-03-2025,SOUTH,Widget B,M. Chen,28.0,18.64
1070,06-19-2025,East,Widget A,M. Chen,33.0,65.31
1071,29/07/2025,West,Widget C,j. smith,9.0,42.41
1072,07-14-2025,SOUTH,Widget B,j. smith,37.0,63.69
1073,2025-10-08,East,Widget C,A. Khan,,158.22
1074,14/06/2025,West,widget a,A. Khan,33.0,97.27
1075,03-28-2025,North,Widget C,j. smith,43.0,128.42
1076,2025-06-21,,Widget B,M. Chen,15.0,
1077,2025-03-17,North,Widget B,R. Patel,40.0,170.7
1078,07/02/2025,,Widget  B,A. Khan,46.0,140.79
1079,11/09/2025,South,Widget B,J. Smith,49.0,172.79
1080,24/02/2025,South,Widget B,j. smith,30.0,14.79
1081,2025-05-08,West,Widget B,R. Patel,43.0,108.57
1082,10-14-2025,East,widget a,,47.0,178.94
1083,08-07-2025,West,Widget B,R. Patel,29.0,55.54
1084,05-07-2025,East,Widget  B,R. Patel,,51.65
1085,2025-08-14,SOUTH,Widget C,A. Khan,18.0,70.49
1086,2025-10-04,South,Widget B,A. Khan,25.0,140.32
1087,2025-04-20,West,widget a,M. Chen,35.0,95.86
1088,2025-02-01, East ,widget a,R. Patel,50.0,118.9
1089,01-11-2025,West,widget a,J. Smith,23.0,63.23
1090,19/07/2025,,Widget  B,j. smith,15.0,100.2
1091,20/05/2025,West,Widget A,R. Patel,22.0,135.43
1092,07-27-2025,South,widget a,A. Khan,40.0,109.15
1093,07-21-2025,north,Widget A,J. Smith,42.0,88.58
1094,2025-08-25,North,Widget C,R. Patel,21.0,46.27
1095,17/06/2025, East ,widget a,M. Chen,49.0,190.48
1096,04/08/2025, East ,Widget A,R. Patel,2.0,151.06
1097,27/01/2025,South,Widget A,J. Smith,49.0,11.05
1098,2025-05-07, East ,Widget A,j. smith,10.0,51.52
1099,08-31-2025,North,Widget  B,A. Khan,30.0,141.4
1100,2025-07-08,north,Widget  B,J. Smith,50.0,164.76
1101,2025-06-09,,Widget A,M. Chen,37.0,137.08
1102,12/07/2025,SOUTH,Widget B,J. Smith,38.0,139.67
1103,2025-05-05,SOUTH,Widget C,j. smith,8.0,160.26
1104,2025-10-17,East,Widget  B,R. Patel,,77.26
1105,09-17-2025,East,Widget A,R. Patel,32.0,25.58
1106,07-05-2025, East ,widget a,A. Khan,28.0,39.35
1107,09-25-2025,East,Widget  B,j. smith,50.0,99.28
1108,08-12-2025,north,Widget C,M. Chen,16.0,166.99
1109,14/02/2025,West,Widget B,R. Patel,37.0,124.01
1110,14/07/2025,North,widget a,M. Chen,12.0,100.07
1111,01/07/2025,East,Widget C,j. smith,45.0,176.62
1112,2025-10-12,north,Widget B,J. Smith,16.0,145.41
1113,09-08-2025, East ,Widget B,R. Patel,42.0,143.81
1114,2025-08-18,North,Widget C,A. Khan,26.0,139.9
1115,06-06-2025,,Widget C,R. Patel,36.0,108.53
1116,08-06-2025,north,Widget C,M. Chen,45.0,93.48
1117,06/06/2025,South,Widget A,A. Khan,21.0,28.31
1118,10-02-2025,South,Widget B,A. Khan,48.0,99.42
1119,09-26-2025,East,Widget A,A. Khan,19.0,49.36
1120,02/04/2025,North,Widget  B,A. Khan,18.0,13.88
1121,01-28-2025,East,Widget B,R. Patel,7.0,175.18
1122,21/10/2025,West,widget a,R. Patel,22.0,40.95
1123,27/01/2025, East ,widget a,J. Smith,5.0,
1124,02-07-2025,SOUTH,Widget A,A. Khan,,163.17
1125,2025-06-05,South,Widget A,j. smith,49.0,86.15
1126,04-26-2025,West,widget a,R. Patel,20.0,172.73
1127,08/08/2025,north,Widget  B,J. Smith,40.0,192.22
1128,2025-02-20,SOUTH,Widget B,M. Chen,43.0,20.83
1129,2025-05-03,north,Widget A,A. Khan,1.0,84.66
1130,29/08/2025,North,Widget B,M. Chen,46.0,60.13
1131,2025-08-21,SOUTH,Widget B,M. Chen,41.0,120.01
1132,12/04/2025,North,Widget  B,A. Khan,42.0,34.05
1133,2025-05-17,North,Widget A,A. Khan,20.0,121.03
1134,19/10/2025,West,Widget A,R. Patel,45.0,64.3
1135,26/07/2025,north,Widget  B,R. Patel,29.0,20.69
1136,21/01/2025,SOUTH,Widget C,j. smith,17.0,10.04
1137,04-28-2025, East ,Widget  B,j. smith,2.0,199.92
1138,05-18-2025,North,Widget B,R. Patel,34.0,132.04
1139,2025-05-23,north,widget a,R. Patel,6.0,96.65
1140,29/07/2025,East,Widget A,A. Khan,22.0,85.27
1141,11/09/2025,SOUTH,widget a,j. smith,3.0,93.69
1142,11/06/2025,East,Widget A,R. Patel,33.0,165.86
1143,01-01-2025, East ,Widget  B,R. Patel,27.0,15.57
1144,23/09/2025,north,widget a,R. Patel,49.0,15.06
1145,05-17-2025,South,Widget C,R. Patel,45.0,99.52
1146,01-15-2025,north,Widget B,A. Khan,20.0,112.41
1147,10/10/2025,North,Widget B,J. Smith,30.0,189.68
1148,20/03/2025,SOUTH,Widget C,,46.0,58.32
1149,05/09/2025,South,widget a,j. smith,10.0,79.8
1150,09-18-2025,South,Widget A,M. Chen,50.0,159.05
1151,01/08/2025, East ,Widget  B,M. Chen,1.0,60.15
1152,06-02-2025,north,widget a,A. Khan,29.0,110.02
1153,26/06/2025,north,Widget  B,R. Patel,30.0,186.91
1154,04-07-2025,South,Widget  B,R. Patel,15.0,171.92
1155,2025-07-30,East,widget a,R. Patel,,197.74
1156,19/03/2025,North,Widget B,j. smith,38.0,69.74
1157,21/02/2025,North,Widget  B,R. Patel,1.0,145.88
1158,07-29-2025,South,Widget A,R. Patel,17.0,71.02
1159,07-23-2025,North,Widget C,j. smith,25.0,191.06
1160,09-07-2025,North,Widget  B,J. Smith,16.0,128.08
1161,2025-05-28,SOUTH,Widget A,R. Patel,7.0,153.27
1162,21/02/2025,South,Widget C,J. Smith,3.0,68.25
1163,29/01/2025,East,Widget C,R. Patel,10.0,52.62
1164,07-30-2025,SOUTH,Widget B,A. Khan,12.0,20.4
1165,07-15-2025,SOUTH,Widget B,R. Patel,38.0,32.91
1166,08-25-2025,East,widget a,,43.0,6.83
1167,27/08/2025,SOUTH,Widget  B,A. Khan,5.0,91.14
1168,06-26-2025,East,widget a,M. Chen,30.0,169.83
1169,12/04/2025, East ,widget a,J. Smith,16.0,79.37
1170,07-03-2025,East,Widget C,J. Smith,43.0,82.18
1171,01-05-2025, East ,Widget A,j. smith,48.0,101.86
1172,2025-05-27,north,Widget C,A. Khan,41.0,42.08
1173,05-09-2025, East ,Widget B,J. Smith,41.0,131.04
1174,08/06/2025,North,Widget  B,M. Chen,47.0,30.63
1175,01/06/2025,SOUTH,widget a,A. Khan,13.0,30.77
1176,04/10/2025,north,Widget  B,M. Chen,11.0,55.11
1177,04/09/2025,SOUTH,Widget C,J. Smith,30.0,192.76
1178,2025-03-14, East ,widget a,j. smith,24.0,22.61
1179,2025-07-22,East,Widget  B,J. Smith,30.0,
1180,05-15-2025,West,Widget C,J. Smith,44.0,50.6
1181,01-13-2025,north,Widget C,,15.0,131.29
1182,08-26-2025,East,widget a,J. Smith,9.0,13.84
1183,20/01/2025,West,Widget A,J. Smith,16.0,178.02
1184,11/03/2025,,Widget C,j. smith,27.0,119.53
1185,21/03/2025,SOUTH,Widget A,R. Patel,40.0,84.58
1186,2025-05-24,SOUTH,Widget C,A. Khan,29.0,91.72
1187,01/05/2025,North,Widget C,j. smith,42.0,74.94
1188,23/07/2025,South,Widget A,R. Patel,6.0,134.24
1189,2025-01-11, East ,Widget C,A. Khan,9.0,158.46
1190,2025-04-16, East ,Widget  B,A. Khan,38.0,47.11
1191,30/04/2025, East ,Widget B,j. smith,1.0,59.07
1192,2025-03-16,north,Widget C,A. Khan,8.0,133.91
1193,2025-01-14,North,Widget C,A. Khan,38.0,68.14
1194,31/03/2025,North,Widget B,R. Patel,,
1195,02/02/2025,West,Widget C,j. smith,38.0,26.27
1196,2025-09-15,north,Widget A,j. smith,-20.0,94.32
1197,2025-01-16,West,widget a,R. Patel,44.0,26.05
1198,2025-08-16,North,Widget C,j. smith,10.0,17.81
1199,05-21-2025,SOUTH,Widget  B,j. smith,46.0,68.41
1200,29/09/2025,West,Widget  B,j. smith,28.0,24.34
1201,02-28-2025,SOUTH,Widget  B,A. Khan,28.0,93.05
1202,27/04/2025,East,widget a,R. Patel,27.0,147.27
1203,10/06/2025,East,Widget C,M. Chen,10.0,138.93
1204,2025-08-31,North,Widget A,J. Smith,28.0,23.83
1205,2025-07-10,north,Widget A,j. smith,36.0,114.53
1206,04/03/2025,East,widget a,J. Smith,19.0,122.08
1207,2025-06-30,north,Widget  B,A. Khan,10.0,133.06
1208,2025-04-25,East,Widget  B,M. Chen,8.0,153.71
1209,2025-10-21, East ,widget a,j. smith,50.0,164.59
1210,2025-10-13,north,Widget C,J. Smith,12.0,58.29
1211,08/06/2025,East,Widget A,A. Khan,10.0,115.43
1212,2025-07-25,South,Widget A,,48.0,108.44
1213,12/07/2025,West,Widget C,A. Khan,24.0,65.77
1214,06-16-2025,north,Widget A,J. Smith,10.0,35.69
1215,01-26-2025,North,Widget C,R. Patel,43.0,87.68
1216,15/08/2025,East,Widget B,j. smith,8.0,72.31
1217,26/02/2025,SOUTH,Widget  B,R. Patel,34.0,135.09
1218,2025-01-24,,Widget  B,J. Smith,1.0,44.86
1219,2025-04-19, East ,Widget C,M. Chen,21.0,28.4
1220,09-12-2025,West,Widget B,A. Khan,25.0,108.85
1221,04-28-2025,north,Widget C,J. Smith,26.0,173.04
1222,22/01/2025,North,widget a,J. Smith,21.0,117.27
1223,21/10/2025,SOUTH,widget a,M. Chen,8.0,83.98
1224,2025-06-16, East ,Widget  B,,45.0,184.36
1225,15/02/2025, East ,Widget A,A. Khan,28.0,119.83
1226,2025-09-26,West,Widget C,M. Chen,15.0,69.95
1227,2025-03-28,north,Widget A,j. smith,33.0,42.81
1228,28/06/2025,SOUTH,Widget B,A. Khan,7.0,33.56
1229,2025-04-12,north,Widget B,J. Smith,12.0,190.5
1230,10/09/2025, East ,Widget  B,j. smith,29.0,137.82
1231,10-17-2025,SOUTH,Widget  B,M. Chen,41.0,66.65
1232,2025-08-14,West,widget a,M. Chen,18.0,120.33
1233,06-30-2025,North,Widget C,R. Patel,29.0,12.33
1234,08/07/2025,North,Widget A,j. smith,39.0,103.88
1235,08-25-2025,north,Widget A,R. Patel,37.0,132.11
1236,06-14-2025,West,Widget  B,A. Khan,4.0,92.85
1237,06-25-2025,North,Widget  B,A. Khan,3.0,
1238,13/08/2025,north,Widget  B,j. smith,11.0,75.96
1239,25/05/2025,West,Widget C,j. smith,4.0,158.9
1240,2025-06-21,East,Widget A,j. smith,44.0,80.38
1241,05-10-2025, East ,Widget  B,A. Khan,22.0,20.89
1242,14/03/2025,East,widget a,A. Khan,39.0,143.22
1243,13/02/2025,north,widget a,M. Chen,9.0,135.67
1244,2025-09-27,SOUTH,widget a,j. smith,24.0,8.55
1245,2025-06-08,South,Widget C,R. Patel,13.0,49.18
1246,2025-03-12,North,Widget C,J. Smith,33.0,155.32
1247,2025-09-27,SOUTH,Widget C,j. smith,9.0,121.46
1248,2025-03-20,South,Widget  B,A. Khan,47.0,90.35
1249,30/07/2025,SOUTH,Widget B,R. Patel,40.0,60.56
1250,2025-08-18,north,Widget B,M. Chen,31.0,181.27
1251,10/04/2025,SOUTH,Widget  B,R. Patel,30.0,155.04
1252,07-15-2025,north,widget a,A. Khan,13.0,161.25
1253,12/03/2025,North,widget a,M. Chen,36.0,187.19
1254,2025-09-22,East,Widget A,A. Khan,18.0,92.62
1255,2025-09-20, East ,widget a,J. Smith,15.0,164.26
1256,2025-06-28,West,Widget A,R. Patel,33.0,77.92
1257,2025-07-17,,Widget B,J. Smith,21.0,186.51
1258,2025-06-21,South,Widget A,M. Chen,31.0,140.73
1259,03-13-2025,,widget a,j. smith,1.0,181.64
1260,10/01/2025,South,Widget B,j. smith,47.0,123.73
1261,2025-08-05, East ,Widget C,A. Khan,20.0,28.76
1262,03/05/2025,SOUTH,Widget  B,R. Patel,5.0,26.62
1263,09-13-2025,north,Widget A,j. smith,37.0,52.18
1264,15/03/2025,West,Widget A,j. smith,23.0,51.91
1265,2025-08-02,SOUTH,Widget A,j. smith,24.0,18.2
1266,09-27-2025,north,Widget  B,j. smith,2.0,81.14
1267,2025-08-29,,widget a,M. Chen,17.0,150.73
1268,2025-07-02,East,Widget B,J. Smith,50.0,118.47
1269,2025-06-20,North,Widget C,j. smith,22.0,163.63
1270,03-31-2025,West,widget a,A. Khan,9.0,17.3
1271,2025-08-23,East,Widget B,J. Smith,13.0,177.73
